State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
IA,RBE,"ALLAMAKEE-CLAYTON ELECTRIC COOPERATIVE, INC",2020,510,510,613451.52
IA,RBE,JAB WIRELESS INC,2019,3612,2237,441256.68
IA,RBE,JAB WIRELESS INC,2020,4129,3398,882513.36
IA,ACAM,LONG LINES,2016,,287,0
ID,RBE,"FIRST STEP INTERNET, LLC",2016,,408,165995.44
ID,RBE,"FIRST STEP INTERNET, LLC",2017,,413,195105.28
ID,RBE,"FIRST STEP INTERNET, LLC",2020,453,471,282434.8
ID,RBE,"FIRST STEP INTERNET, LLC",2019,386,471,253324.96
ID,RBE,"FIRST STEP INTERNET, LLC",2018,386,470,224215.12
ID,ACAM,"BTC HOLDINGS, INC.",2002,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2003,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2004,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2005,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2006,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2007,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2008,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2009,,39,0
ID,ACAM,"BTC HOLDINGS, INC.",2010,,40,0
ID,ACAM,"BTC HOLDINGS, INC.",2011,,481,0
ID,ACAM,"BTC HOLDINGS, INC.",2012,,573,0
ID,ACAM,"BTC HOLDINGS, INC.",2013,,673,0
ID,ACAM,"BTC HOLDINGS, INC.",2014,,830,0
ID,ACAM,"BTC HOLDINGS, INC.",2015,,871,0
ID,ACAM,"BTC HOLDINGS, INC.",2016,,1158,0
ID,ACAM,"BTC HOLDINGS, INC.",2017,,1263,1259937.96
ID,ACAM,"BTC HOLDINGS, INC.",2018,,1427,2964559.92
ID,ACAM,"BTC HOLDINGS, INC.",2019,,1715,4658474.53
ID,ACAM,"BTC HOLDINGS, INC.",2020,815,2096,6352389.13
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2000,,82,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2001,,82,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2002,,82,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2003,,272,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2004,,414,0
